Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Contain_Control_Date,Year
Dry Gulch,GB,NV,07/04/2017,07/11/2017,"64,000",U,"$2,700,000",WF,,2017.0
Meyers,NR,MT,07/14/2017,10/13/2017,"62,034",L,"$32,800,000",WF,,2017.0
Snowstorm,GB,NV,07/14/2017,07/15/2017,"60,000",U,"$482,448",WF,,2017.0
Rim,SO,CA,08/17/2013,10/24/2013,"257,314",U,"$127,350,000",WF,,2013.0
Lime Hills,AK,AK,05/31/2013,08/29/2013,"201,808",L,"$2,883,457",WF,,2013.0
Moore Creek,AK,AK,06/02/2013,08/29/2013,"157,747",L,"$371,499",WF,,2013.0
Pony Complex,EB,ID,08/09/2013,08/19/2013,"149,384",L,"$4,000,000",WF,,2013.0
Silver,SW,NM,06/07/2013,09/10/2013,"138,546",L,"$14,300,000",WF,,2013.0
Elk Complex,EB,ID,08/09/2013,08/31/2013,"131,258",L,"$10,720,000",WF,,2013.0
Beaver Creek,EB,ID,08/07/2013,09/02/2013,"111,490",L,"$26,500,000",WF,,2013.0
West Fork Complex,RM,CO,06/05/2013,10/31/2013,"109,615",L,"$31,261,047",WF,,2013.0
Stuart Creek #2,AK,AK,06/19/2013,08/23/2013,"87,064",H,"$20,984,698",WF,,2013.0
Colockum Tarps,NW,WA,07/27/2013,08/18/2013,"80,184",H,"$11,000,000",WF,,2013.0
Mississippi,AK,AK,05/30/2013,11/02/2013,"67,338",H,"$5,220,000",WF,,2013.0
Beaver Log Lakes,AK,AK,06/22/2013,08/28/2013,"64,499",L,"$1,847,258",WF,,2013.0
Prospect Creek,AK,AK,06/20/2013,09/03/2013,"64,078",L,"$98,377",WF,,2013.0
Sandless Lake,AK,AK,06/25/2013,09/03/2013,"62,318",L,"$10,000",WF,,2013.0
Sunnyside Turnoff,NW,OR,07/20/2013,09/03/2013,"51,340",H,"$4,000,000",WF,,2013.0
Douglas Complex,NW,OR,07/26/2013,10/18/2013,"48,679",L,"$55,000,000",WF,,2013.0
Sulatna River,AK,AK,06/21/2013,08/28/2013,"47,588",L,"$7,000",WF,,2013.0
Chisana River,AK,AK,05/31/2013,10/23/2013,"46,638",L,"$35,776",WF,,2013.0
Owyhee,NW,OR,07/01/2013,07/08/2013,"46,559",L,"$1,843,801",WF,,2013.0
Gold Pan Complex,NR,MT,07/16/2013,10/03/2013,"43,429",L,"$11,860,878",WF,,2013.0
Lime Complex,AK,AK,06/15/2022,07/26/2022,"865,625",U,$12726992,WF,,2022.0
Hermits Peak,SW,NM,04/07/2022,10/20/2022,"341,735",H,$330100293,WF,,2022.0
Black,SW,NM,05/13/2022,11/10/2022,"325,136",H,$60190000,WF,,2022.0
Paradise Complex,AK,AK,07/07/2022,08/11/2022,"275,703",U,$2782896,WF,,2022.0
Tatlawiksuk,AK,AK,06/05/2022,07/22/2022,"229,439",L,$75965,WF,,2022.0
NC HPAI 2022,SA,NC,04/11/2022,04/19/2022,"212,865",U,$484012,WF,,2022.0
