Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Year,Duration_Days,Start_Month,Cost_Source
"NR 
NR 
Rocky",SW,NM,2008-06-18,2008-06-25,49132.0,L,2158700.0,WF,2008.0,7,6,Original
"Canyon 
Complex",NO,CA,2008-06-21,2008-11-03,47680.0,L,14311387.0,WF,2008.0,135,6,Imputed
Bridger Fire,RM,CO,2008-06-08,2008-07-09,45800.0,L,7123406.5,WF,2008.0,31,6,Imputed
Hughes Ranch,SA,TX,2008-06-04,2008-06-09,45241.0,U,6723189.5,WF,2008.0,5,6,Imputed
Evans Road,SA,NC,2008-06-01,2008-09-29,40704.0,L,18249415.0,WF,2008.0,120,6,Original
"NW Oklahoma
Complex",SA,OK,2017-03-07,2017-03-24,779292.0,U,8422650.0,WF,2017.0,17,3,Imputed
Perryton,SA,TX,2017-03-06,2017-03-13,318156.0,H,8267503.5,WF,2017.0,7,3,Imputed
Thomas,SO,CA,2017-12-04,2017-12-31,270000.0,U,123836000.0,WF,2017.0,27,12,Original
"Lodgepole
Complex",Unknown,MT,2017-07-20,2017-08-11,270000.0,U,6879769.5,WF,2017.0,22,7,Imputed
Roosters Comb,GB,NV,2017-07-09,2017-07-24,218380.0,U,4000000.0,WF,2017.0,15,7,Original
Chetco Bar,NW,OR,2017-07-12,2017-10-26,191125.0,L,72000000.0,WF,2017.0,106,7,Original
Rice Ridge,Unknown,MT,2017-07-24,2017-10-17,160187.0,L,49251000.0,WF,2017.0,85,7,Original
"Four Seasons
Complex",GB,NV,2017-07-16,2017-07-25,159986.0,U,5603106.5,WF,2017.0,9,7,Imputed
West Mims,SA,GA,2017-04-06,2017-06-29,152515.0,L,45500000.0,WF,2017.0,84,4,Original
Lefors East,SA,TX,2017-03-07,2017-03-10,135000.0,H,6661942.0,WF,2017.0,3,3,Imputed
Diamond Creek,NW,WA,2017-07-23,2017-10-05,128272.0,U,14760000.0,WF,2017.0,74,7,Original
"Central LNU
Complex",NO,CA,2017-10-09,2017-10-10,110720.0,U,10506407.0,WF,2017.0,1,10,Imputed
Sartin Draw,Unknown,MT,2017-08-30,2017-09-04,99735.0,L,1500000.0,WF,2017.0,5,8,Original
Truckee,GB,NV,2017-07-03,2017-07-11,98960.0,U,2120260.0,WF,2017.0,8,7,Original
Tohakum 2,GB,NV,2017-08-29,2017-07-11,94221.0,L,3456000.0,WF,2017.0,-49,8,Original
Campbell River,AK,AK,2017-06-26,2017-10-12,93520.0,L,8005563.0,WF,2017.0,108,6,Imputed
Oak,NO,CA,2017-08-12,2017-09-23,86830.0,L,16233907.0,WF,2017.0,42,8,Imputed
Highline,GB,ID,2017-07-28,2017-09-21,84619.0,L,2167864.0,WF,2017.0,55,7,Original
Long Valley,GB,CA,2017-07-11,2017-07-21,83733.0,U,11953000.0,WF,2017.0,10,7,Original
"Modoc July
Complex",NO,CA,2017-07-24,2017-08-13,83120.0,U,16729413.0,WF,2017.0,20,7,Imputed
Detwiler,SO,CA,2017-07-16,2017-08-07,81826.0,U,90000000.0,WF,2017.0,22,7,Original
"White Mountain
Creek",AK,AK,2017-07-03,2017-10-05,78857.0,L,8294309.0,WF,2017.0,94,7,Imputed
Eclipse Complex,NO,CA,2017-08-15,2017-10-08,78698.0,U,46006691.0,WF,2017.0,54,8,Original
Brush Flat,Unknown,MT,2017-08-31,2017-09-04,73797.0,L,400000.0,WF,2017.0,4,8,Original
Brianhead,GB,UT,2017-06-17,2017-07-24,71673.0,H,3660000.0,WF,2017.0,37,6,Original
Nena Springs,NW,OR,2017-08-08,2017-08-29,68007.0,H,8900000.0,WF,2017.0,21,8,Original
"Salmon August
Complex",NO,CA,2017-08-13,2017-10-04,65889.0,U,21164354.0,WF,2017.0,52,8,Imputed
Dry Gulch,GB,NV,2017-07-04,2017-07-11,64000.0,U,2700000.0,WF,2017.0,7,7,Original
Meyers,Unknown,MT,2017-07-14,2017-10-13,62034.0,L,32800000.0,WF,2017.0,91,7,Original
Snowstorm,GB,NV,2017-07-14,2017-07-15,60000.0,U,482448.0,WF,2017.0,1,7,Original
Rim,SO,CA,2013-08-17,2013-10-24,257314.0,U,127350000.0,WF,2013.0,68,8,Original
Lime Hills,AK,AK,2013-05-31,2013-08-29,201808.0,L,2883457.0,WF,2013.0,90,5,Original
Moore Creek,AK,AK,2013-06-02,2013-08-29,157747.0,L,371499.0,WF,2013.0,88,6,Original
Pony Complex,EB,ID,2013-08-09,2013-08-19,149384.0,L,4000000.0,WF,2013.0,10,8,Original
Silver,SW,NM,2013-06-07,2013-09-10,138546.0,L,14300000.0,WF,2013.0,95,6,Original
Elk Complex,EB,ID,2013-08-09,2013-08-31,131258.0,L,10720000.0,WF,2013.0,22,8,Original
Beaver Creek,EB,ID,2013-08-07,2013-09-02,111490.0,L,26500000.0,WF,2013.0,26,8,Original
West Fork Complex,RM,CO,2013-06-05,2013-10-31,109615.0,L,31261047.0,WF,2013.0,148,6,Original
Stuart Creek #2,AK,AK,2013-06-19,2013-08-23,87064.0,H,20984698.0,WF,2013.0,65,6,Original
Colockum Tarps,NW,WA,2013-07-27,2013-08-18,80184.0,H,11000000.0,WF,2013.0,22,7,Original
Mississippi,AK,AK,2013-05-30,2013-11-02,67338.0,H,5220000.0,WF,2013.0,156,5,Original
Beaver Log Lakes,AK,AK,2013-06-22,2013-08-28,64499.0,L,1847258.0,WF,2013.0,67,6,Original
Prospect Creek,AK,AK,2013-06-20,2013-09-03,64078.0,L,98377.0,WF,2013.0,75,6,Original
Sandless Lake,AK,AK,2013-06-25,2013-09-03,62318.0,L,10000.0,WF,2013.0,70,6,Original
Sunnyside Turnoff,NW,OR,2013-07-20,2013-09-03,51340.0,H,4000000.0,WF,2013.0,45,7,Original
Douglas Complex,NW,OR,2013-07-26,2013-10-18,48679.0,L,55000000.0,WF,2013.0,84,7,Original
Sulatna River,AK,AK,2013-06-21,2013-08-28,47588.0,L,7000.0,WF,2013.0,68,6,Original
Chisana River,AK,AK,2013-05-31,2013-10-23,46638.0,L,35776.0,WF,2013.0,145,5,Original
Owyhee,NW,OR,2013-07-01,2013-07-08,46559.0,L,1843801.0,WF,2013.0,7,7,Original
Gold Pan Complex,Unknown,MT,2013-07-16,2013-10-03,43429.0,L,11860878.0,WF,2013.0,79,7,Original
Lime Complex,AK,AK,2022-06-15,2022-07-26,865625.0,U,12726992.0,WF,2022.0,41,6,Original
Hermits Peak,SW,NM,2022-04-07,2022-10-20,341735.0,H,330100293.0,WF,2022.0,196,4,Original
Black,SW,NM,2022-05-13,2022-11-10,325136.0,H,60190000.0,WF,2022.0,181,5,Original
Paradise Complex,AK,AK,2022-07-07,2022-08-11,275703.0,U,2782896.0,WF,2022.0,35,7,Original
Tatlawiksuk,AK,AK,2022-06-05,2022-07-22,229439.0,L,75965.0,WF,2022.0,47,6,Original
NC HPAI 2022,SA,NC,2022-04-11,2022-04-19,212865.0,U,484012.0,WF,2022.0,8,4,Original
Bean Complex,AK,AK,2022-06-25,2022-08-06,212504.0,U,11656365.0,WF,2022.0,42,6,Original
Koktuli River,AK,AK,2022-06-08,2022-06-12,205862.0,L,6174200.5,WF,2022.0,4,6,Imputed
Hog Butte,AK,AK,2022-06-05,2022-07-06,204145.0,L,628717.0,WF,2022.0,31,6,Original
Double Creek,NW,OR,2022-08-30,2022-10-21,171532.0,L,39500000.0,WF,2022.0,52,8,Original
East Fork,AK,AK,2022-06-02,2022-07-27,166760.0,L,6150000.0,WF,2022.0,55,6,Original
Poorman Complex,AK,AK,2022-06-28,2022-09-07,140355.0,U,8131087.5,WF,2022.0,71,6,Imputed
Moose,GB,ID,2022-07-17,2022-11-10,130205.0,H,98200000.0,WF,2022.0,116,7,Original
Cedar Creek,NW,OR,2022-08-04,2022-11-24,127311.0,L,133750000.0,WF,2022.0,112,8,Original
Aghaluk Mountain,AK,AK,2022-06-06,2022-06-14,115030.0,L,12726992.0,WF,2022.0,8,6,Original
Door Mountain,AK,AK,2022-06-09,2022-06-10,114294.0,L,500.0,WF,2022.0,1,6,Original
Chitanana,AK,AK,2022-06-19,2022-06-23,100246.0,L,1148818.0,WF,2022.0,4,6,Original
"Dalton Highway
Complex",AK,AK,2022-07-01,2022-08-04,91679.0,U,6971097.0,WF,2022.0,34,7,Original
Pike Creek,AK,AK,2022-06-08,2022-07-29,88108.0,L,76037.0,WF,2022.0,51,6,Original
Swift River,AK,AK,2022-06-08,2022-06-12,85073.0,L,6778915.5,WF,2022.0,4,6,Imputed
Apoon Pass,AK,AK,2022-06-09,2022-06-30,84138.0,L,8074691.5,WF,2022.0,21,6,Imputed
Mosquito,NO,CA,2022-09-06,2022-10-23,76788.0,H,181100000.0,WF,2022.0,47,9,Original
Clear,AK,AK,2022-06-21,2022-09-08,73284.0,L,2363465.0,WF,2022.0,79,6,Original
Bitzshitini,AK,AK,2022-06-19,2022-06-23,71266.0,L,216545.0,WF,2022.0,4,6,Original
Camp Creek,AK,AK,2022-06-27,2022-06-27,69006.0,L,45000.0,WF,2022.0,0,6,Original
Donut,AK,AK,2022-06-21,2022-06-23,68348.0,L,45000.0,WF,2022.0,2,6,Original
"Middle Tanana
Complex",AK,AK,2022-07-03,2022-09-08,62861.0,U,3434457.0,WF,2022.0,67,7,Original
North Fork,AK,AK,2022-06-21,2022-07-21,60750.0,L,5137115.5,WF,2022.0,30,6,Imputed
McKinney,NO,CA,2022-07-29,2022-11-07,60138.0,U,96580000.0,WF,2022.0,101,7,Original
Cooks Peak,SW,NM,2022-04-17,2022-05-31,59359.0,U,12500000.0,WF,2022.0,44,4,Original
Lansing Creek,AK,AK,2022-06-21,2022-07-21,56371.0,L,5403599.0,WF,2022.0,30,6,Imputed
Eastland Complex,SA,TX,2022-03-17,2022-04-06,54513.0,U,7.0,WF,2022.0,20,3,Original
Door Creek,AK,AK,2022-06-13,2022-06-13,54006.0,L,4892355.5,WF,2022.0,0,6,Imputed
Schilling Creek,AK,AK,2022-06-17,2022-07-21,53526.0,L,50000.0,WF,2022.0,34,6,Original
Titnuk Creek,AK,AK,2022-06-09,2022-06-11,53291.0,L,4535637.5,WF,2022.0,2,6,Imputed
Borrega,SA,TX,2022-03-30,2022-04-04,51566.0,H,5888677.5,WF,2022.0,5,3,Imputed
"Fourth of July
Creek",AK,AK,2022-06-08,2022-07-22,51146.0,L,70912.0,WF,2022.0,44,6,Original
Radio Creek,AK,AK,2022-06-21,2022-07-27,45801.0,L,75000.0,WF,2022.0,36,6,Original
Kiknik,AK,AK,2022-06-09,2022-06-11,45734.0,L,3033.0,WF,2022.0,2,6,Original
Cerro Pelado,SW,NM,2022-04-22,2022-07-11,45605.0,H,46800000.0,WF,2022.0,80,4,Original
Long Butte,EB,ID,2010-08-21,2010-09-03,306113.0,L,4225000.0,WF,2010.0,13,8,Original
Toklat,AK,AK,2010-05-16,2010-06-04,171727.0,L,2109186.0,WF,2010.0,19,5,Original
Jefferson,EB,ID,2010-07-13,2010-07-17,109436.0,H,700819.0,WF,2010.0,4,7,Original
Turquoise Lake,AK,AK,2010-05-18,2010-09-07,91885.0,H,317515.0,WF,2010.0,112,5,Original
Big Mountain,AK,AK,2010-06-02,2010-09-02,83746.0,L,6015017.5,WF,2010.0,92,6,Imputed
Pat Creek,AK,AK,2010-06-25,2010-12-30,72692.0,L,11622393.0,WF,2010.0,188,6,Original
Lone Mountain,AK,AK,2010-05-29,2010-12-22,51996.0,L,10044.0,WF,2010.0,207,5,Original
Twitchell Canyon,EB,UT,2010-07-20,2010-11-18,44892.0,L,17363000.0,WF,2010.0,121,7,Original
