Name,GACC,State,Start_Date,Last_Report_Date,Size_Acres,Cause,Cost,Inc_Type,Year,Duration_Days,Start_Month,Cost_Source
Pole Creek,GB,UT,2018-09-06,2018-10-08,102191.0,L,29100000.0,WF,2018.0,32,9,Original
Boxcar,NW,OR,2018-06-21,2018-07-03,100207.0,U,3500000.0,WF,2018.0,12,6,Original
Grassy Ridge,GB,ID,2018-07-26,2018-08-15,99502.0,L,3000000.0,WF,2018.0,20,7,Original
Woolsey,SO,CA,2018-11-08,2018-11-27,96949.0,U,56943320.0,WF,2018.0,19,11,Original
Ferguson,SO,CA,2018-07-13,2018-08-23,96901.0,U,150000000.0,WF,2018.0,41,7,Original
County,NO,CA,2018-06-30,2018-07-14,90288.0,U,47000000.0,WF,2018.0,14,6,Original
Avian Complex,SA,FL,2018-05-01,2018-05-29,82461.0,U,10781364.0,WF,2018.0,28,5,Original
Substation,NW,OR,2018-07-17,2018-08-02,78425.0,H,4200000.0,WF,2018.0,16,7,Original
Grass Valley,NW,WA,2018-08-11,2018-08-15,75573.0,U,875000.0,WF,2018.0,4,8,Original
Mallard,SA,TX,2018-05-08,2018-05-20,75530.0,U,6110076.5,WF,2018.0,12,5,Imputed
Boylston,NW,WA,2018-07-19,2018-07-23,71200.0,U,995000.0,WF,2018.0,4,7,Original
Dollar Ridge,GB,UT,2018-07-01,2018-08-29,70003.0,U,22000000.0,WF,2018.0,59,7,Original
Zitziana River,AK,AK,2018-06-04,2018-09-07,69332.0,L,2440527.0,WF,2018.0,95,6,Original
Sharps,GB,ID,2018-07-29,2018-09-13,64853.0,H,9500000.0,WF,2018.0,46,7,Original
Delta,NO,CA,2018-09-05,2018-10-07,63311.0,H,64429020.0,WF,2018.0,32,9,Original
Smith River Complex,NO,CA,2023-08-16,2023-11-15,95107.0,U,11843972.0,WF,2023.0,91,8,Imputed
York,SO,CA,2023-07-28,2023-08-19,93078.0,H,14609991.0,WF,2023.0,22,7,Imputed
Newell Road,NW,WA,2023-07-21,2023-07-30,60551.0,U,8090494.0,WF,2023.0,9,7,Imputed
Pass,SW,NM,2023-05-21,2023-08-31,59833.0,L,7593784.5,WF,2023.0,102,5,Imputed
Anderson Complex,AK,AK,2023-07-29,2023-08-24,58933.0,U,7758039.0,WF,2023.0,26,7,Imputed
Delta,AK,AK,2023-07-25,2023-08-31,57395.0,L,5351063.5,WF,2023.0,37,7,Imputed
Clear Creek Complex,AK,AK,2023-07-27,2023-08-17,52966.0,L,5888384.5,WF,2023.0,21,7,Imputed
"2023 SRF Lightning
Complex",NO,CA,2023-08-17,2023-10-24,50198.0,U,7288910.5,WF,2023.0,68,8,Imputed
Pogo Mine Road,AK,AK,2023-07-25,2023-08-23,48792.0,L,5866245.5,WF,2023.0,29,7,Imputed
Cooksley,RM,NE,2023-04-18,2023-04-18,40000.0,U,7080506.5,WF,2023.0,0,4,Imputed
Tanana Area Fires,AK,AK,2015-06-19,2015-08-06,498043.0,L,14049552.0,WF,2015.0,48,6,Original
Ruby Area Fires,AK,AK,2015-07-02,2015-08-04,421613.0,L,2845925.0,WF,2015.0,33,7,Original
Soda,GB,ID,2015-08-10,2015-08-23,285361.0,U,6250000.0,WF,2015.0,13,8,Original
Sushgitit Hills,AK,AK,2015-06-21,2015-08-15,270747.0,L,51000.0,WF,2015.0,55,6,Original
North Star,NW,WA,2015-08-13,2015-11-30,218138.0,H,45000000.0,WF,2015.0,109,8,Original
Holtnakatna,AK,AK,2015-06-22,2015-07-06,198133.0,L,5205997.0,WF,2015.0,14,6,Imputed
Aniak Complex,AK,AK,2015-07-04,2015-07-19,157783.0,L,6492120.0,WF,2015.0,15,7,Original
Rough,SO,CA,2015-07-31,2015-10-12,151623.0,L,120930243.0,WF,2015.0,73,7,Original
Okanogan Complex,NW,WA,2015-08-14,2015-09-29,145282.0,L,14445422.0,WF,2015.0,46,8,Imputed
Rock,AK,AK,2015-06-19,2015-08-15,142637.0,L,1694868.0,WF,2015.0,57,6,Original
Isahultila,AK,AK,2015-06-21,2015-08-15,128617.0,L,10000.0,WF,2015.0,55,6,Original
Sea,AK,AK,2015-06-19,2015-08-08,111193.0,L,7000.0,WF,2015.0,50,6,Original
Canyon Creek Complex,NW,OR,2015-08-12,2015-10-29,110261.0,L,31453602.0,WF,2015.0,78,8,Original
Big Mud River 1,AK,AK,2015-06-21,2015-08-08,103170.0,L,5000.0,WF,2015.0,48,6,Original
Cornet-Windy Ridge,NW,OR,2015-08-11,2015-10-27,102089.0,U,6010000.0,WF,2015.0,77,8,Original
Iditarod River,AK,AK,2015-06-20,2015-07-25,98183.0,L,282298.0,WF,2015.0,35,6,Original
Blazo,AK,AK,2015-06-19,2015-07-07,96644.0,L,6070892.5,WF,2015.0,18,6,Imputed
Tepee Springs,GB,ID,2015-08-12,2015-10-19,95709.0,L,31540000.0,WF,2015.0,68,8,Original
Munsatli 2,AK,AK,2015-07-04,2015-08-02,95679.0,L,6000.0,WF,2015.0,29,7,Original
"Selway/Elk City/Red River
Complex",Unknown,ID,2015-08-17,2015-10-29,94921.0,L,16000000.0,WF,2015.0,73,8,Original
Chelan Complex,NW,WA,2015-08-14,2015-09-20,88985.0,U,10000000.0,WF,2015.0,37,8,Original
"Clearwater/Municipal/Motorway
North Complex",Unknown,ID,2015-08-10,2015-09-08,83243.0,L,41527637.0,WF,2015.0,29,8,Original
Grizzly Bear Complex,NW,OR,2015-08-13,2015-10-30,83148.0,L,20968610.0,WF,2015.0,78,8,Original
Torment Creek,AK,AK,2015-06-20,2015-08-04,81468.0,L,7000.0,WF,2015.0,45,6,Original
River Complex,NO,CA,2015-07-30,2015-09-25,77081.0,L,32678783.0,WF,2015.0,57,7,Original
Kettle Complex,NW,WA,2015-08-11,2015-09-27,76512.0,L,9914369.0,WF,2015.0,47,8,Imputed
Valley,NO,CA,2015-09-12,2015-10-05,76067.0,U,56220000.0,WF,2015.0,23,9,Original
Wolverine,NW,WA,2015-06-29,2015-10-03,72123.0,L,35000000.0,WF,2015.0,96,6,Original
Butte,NO,CA,2015-09-09,2015-09-30,70868.0,U,74720784.0,WF,2015.0,21,9,Original
Rocky,NO,CA,2015-07-29,2015-08-14,69438.0,U,46100000.0,WF,2015.0,16,7,Original
Bear Creek,Unknown,MT,2015-08-12,2015-10-22,69435.0,L,3300000.0,WF,2015.0,71,8,Original
Kutokbuna Lake,AK,AK,2015-06-21,2015-07-02,68320.0,L,82167.0,WF,2015.0,11,6,Original
County Line 2,NW,OR,2015-08-12,2015-08-31,67207.0,U,16400000.0,WF,2015.0,19,8,Original
Three Day,AK,AK,2015-06-19,2015-07-07,66703.0,L,3802929.75,WF,2015.0,18,6,Imputed
Lloyd,AK,AK,2015-06-24,2015-08-14,66267.0,L,603744.0,WF,2015.0,51,6,Original
Carpenter Road,NW,WA,2015-08-14,2015-12-16,63972.0,H,22650000.0,WF,2015.0,124,8,Original
West Fork,AK,AK,2015-06-19,2015-07-25,58335.0,L,4000.0,WF,2015.0,36,6,Original
Dulbi River,AK,AK,2015-06-19,2015-06-25,56687.0,L,4095325.5,WF,2015.0,6,6,Imputed
Tobatokh,AK,AK,2015-06-22,2015-07-01,54036.0,L,2000.0,WF,2015.0,9,6,Original
Family Peak Complex,Unknown,MT,2015-08-13,2015-10-17,53890.0,L,4205000.0,WF,2015.0,65,8,Original
Cougar Creek,NW,WA,2015-08-10,2015-10-17,53534.0,L,23500000.0,WF,2015.0,68,8,Original
Hardpac Creek,AK,AK,2015-06-21,2015-08-03,50482.0,L,3000.0,WF,2015.0,43,6,Original
Bendire Complex,NW,OR,2015-08-11,2015-09-15,49628.0,L,4820000.0,WF,2015.0,35,8,Original
Chitanana River,AK,AK,2015-06-21,2015-07-11,49540.0,L,1000.0,WF,2015.0,20,6,Original
Can Creek,AK,AK,2015-06-01,2015-07-17,48729.0,L,18945.0,WF,2015.0,46,6,Original
Glacier,AK,AK,2015-06-23,2015-07-28,47333.0,L,4000.0,WF,2015.0,35,6,Original
Dixie,NO,CA,2021-07-13,2021-10-23,963309.0,U,30000000.0,WF,2021.0,102,7,Original
Bootleg,NW,OR,2021-07-06,2021-08-13,413717.0,L,100900000.0,WF,2021.0,38,7,Original
Monument,NO,CA,2021-07-31,2021-10-25,223124.0,L,163739291.0,WF,2021.0,86,7,Original
Caldor,NO,CA,2021-08-14,2021-10-20,221835.0,H,271147512.0,WF,2021.0,67,8,Original
River Complex,NO,CA,2021-07-30,2021-10-24,199359.0,L,95340595.0,WF,2021.0,86,7,Original
Telegraph,SW,AZ,2021-06-04,2021-07-02,180757.0,H,36400000.0,WF,2021.0,28,6,Original
Richard Spring,Unknown,MT,2021-08-08,2021-08-20,171130.0,L,6500000.0,WF,2021.0,12,8,Original
Antelope,NO,CA,2021-08-01,2021-10-14,145632.0,U,74950300.0,WF,2021.0,74,8,Original
McFarland,NO,CA,2021-07-30,2021-09-15,122653.0,L,43960000.0,WF,2021.0,47,7,Original
Four County,RM,KS,2021-12-15,2021-12-23,121622.0,H,8054277.5,WF,2021.0,8,12,Imputed
"Snake River
Complex",Unknown,ID,2021-07-08,2021-08-18,109444.0,L,9498972.0,WF,2021.0,41,7,Original
Schneider Springs,NW,WA,2021-08-04,2021-10-25,107322.0,L,53955225.0,WF,2021.0,82,8,Original
"Beckwourth
Complex",NO,CA,2021-07-03,2021-09-21,105670.0,U,542539952.0,WF,2021.0,80,7,Original
Windy,SO,CA,2021-09-09,2021-11-10,97528.0,L,78421741.0,WF,2021.0,62,9,Original
McCash,NO,CA,2021-07-31,2021-10-27,94962.0,L,53350000.0,WF,2021.0,88,7,Original
Cougar Peak,NW,OR,2021-09-07,2021-10-20,91810.0,U,26000000.0,WF,2021.0,43,9,Original
Johnson,SW,NM,2021-05-20,2021-07-15,88918.0,L,7500000.0,WF,2021.0,56,5,Original
Boundary,GB,ID,2021-08-10,2021-10-21,88757.0,L,12002000.0,WF,2021.0,72,8,Original
KNP Complex,SO,CA,2021-09-12,2021-12-15,88307.0,L,170000000.0,WF,2021.0,94,9,Original
Rafael,SW,AZ,2021-06-20,2021-07-13,78065.0,L,11000000.0,WF,2021.0,23,6,Original
Mescal,SW,AZ,2021-06-01,2021-06-16,72250.0,H,12075000.0,WF,2021.0,15,6,Original
Cub Creek 2,NW,WA,2021-07-16,2021-09-26,70168.0,H,27788529.0,WF,2021.0,72,7,Original
"Devil’s Knob
Complex",NW,OR,2021-08-03,2021-10-29,70110.0,L,11017094.0,WF,2021.0,87,8,Imputed
Tamarack,GB,NV,2021-07-16,2021-10-07,68637.0,L,37000000.0,WF,2021.0,83,7,Original
Betty's Way,RM,NE,2024-02-26,2024-03-11,69810.0,U,6558914.5,WF,2024.0,14,2,Imputed
Smokehouse Creek,SA,TX,2024-02-26,2024-03-17,1054153.0,H,8850996.0,WF,2024.0,20,2,Imputed
Catesby,SA,OK,2024-02-27,2024-03-15,89688.0,H,5369880.5,WF,2024.0,17,2,Imputed
McDonald,AK,AK,2024-06-08,2024-07-20,152227.0,L,5103507.5,WF,2024.0,42,6,Imputed
Midnight,AK,AK,2024-06-19,2024-07-09,52550.0,L,5060449.5,WF,2024.0,20,6,Imputed
Grapefruit Complex,AK,AK,2024-06-28,2024-07-13,89011.0,U,6238051.5,WF,2024.0,15,6,Imputed
Falls,NW,OR,2024-07-10,2024-08-21,151689.0,H,9347956.0,WF,2024.0,42,7,Imputed
Cow Valley,NW,OR,2024-07-11,2024-08-09,133490.0,U,8490872.0,WF,2024.0,29,7,Imputed
Lone Rock,NW,OR,2024-07-13,2024-08-31,137222.0,U,7442627.5,WF,2024.0,49,7,Imputed
Boneyard,NW,OR,2024-07-17,2024-07-25,49716.0,L,6470360.5,WF,2024.0,8,7,Imputed
Durkee,NW,OR,2024-07-17,2024-09-04,294265.0,L,8894363.0,WF,2024.0,49,7,Imputed
"Battle Mountain
Complex",NW,OR,2024-07-18,2024-09-14,183026.0,U,7758838.5,WF,2024.0,58,7,Imputed
Monkey Creek,NW,OR,2024-07-18,2024-07-20,115269.0,U,6108565.5,WF,2024.0,2,7,Imputed
Swawilla I,NW,WA,2024-07-18,2024-11-03,53462.0,L,9949323.0,WF,2024.0,108,7,Imputed
Telephone,NW,OR,2024-07-22,2024-08-21,54005.0,L,7643340.5,WF,2024.0,30,7,Imputed
Crazy Creek,NW,OR,2024-07-22,2024-09-25,86968.0,L,6757524.5,WF,2024.0,65,7,Imputed
Big Horn,NW,WA,2024-07-22,2024-07-30,51569.0,U,7053868.5,WF,2024.0,8,7,Imputed
Badland Complex,NW,OR,2024-07-23,2024-08-14,54617.0,U,7523488.5,WF,2024.0,22,7,Imputed
Retreat,NW,WA,2024-07-23,2024-10-01,45601.0,H,9422615.0,WF,2024.0,70,7,Imputed
Park,NO,CA,2024-07-24,2024-09-25,429603.0,U,9387572.0,WF,2024.0,63,7,Imputed
Borel,SO,CA,2024-07-24,2024-09-14,59288.0,U,6586364.0,WF,2024.0,52,7,Imputed
Wapiti,GB,ID,2024-07-24,2024-10-24,129063.0,L,13365921.0,WF,2024.0,92,7,Imputed
Hole In The Ground,NW,OR,2024-07-24,2024-08-01,98855.0,L,6679343.5,WF,2024.0,8,7,Imputed
Paddock,GB,ID,2024-08-05,2024-08-17,187185.0,L,8443766.0,WF,2024.0,12,8,Imputed
Warner Peak,NW,OR,2024-08-05,2024-08-23,65866.0,L,10316843.0,WF,2024.0,18,8,Imputed
Nellie,GB,ID,2024-08-06,2024-08-08,48196.0,L,7775098.0,WF,2024.0,2,8,Imputed
"Middle Fork
Complex",GB,ID,2024-08-08,2024-10-24,61496.0,U,8569397.0,WF,2024.0,77,8,Imputed
Flat Rock,RM,WY,2024-08-21,2024-09-12,52421.0,U,8346859.5,WF,2024.0,22,8,Imputed
House Draw,RM,WY,2024-08-21,2024-09-12,174547.0,L,7044677.5,WF,2024.0,22,8,Imputed
Remington,RM,WY,2024-08-22,2024-09-19,196368.0,U,9198912.0,WF,2024.0,28,8,Imputed
Red Rock,GB,ID,2024-09-02,2024-10-28,79260.0,L,7212567.5,WF,2024.0,56,9,Imputed
Rail Ridge,NW,OR,2024-09-02,2024-10-31,176661.0,L,10867325.0,WF,2024.0,59,9,Imputed
Lava,GB,ID,2024-09-03,2024-10-24,97585.0,L,8715613.0,WF,2024.0,51,9,Imputed
Line,SO,CA,2024-09-04,2024-12-24,43978.0,U,8560054.0,WF,2024.0,111,9,Imputed
Bridge,SO,CA,2024-09-08,2024-12-29,56030.0,U,8511200.0,WF,2024.0,112,9,Imputed
Pack Trail,RM,WY,2024-09-18,2024-11-02,89930.0,L,7703734.5,WF,2024.0,45,9,Imputed
Elk,RM,WY,2024-09-27,2024-11-14,98352.0,U,9141611.0,WF,2024.0,48,9,Imputed
Old Grouch Top,AK,AK,2019-06-05,2019-08-01,307969.0,L,61000.0,WF,2019.0,57,6,Original
Frozen Calf,AK,AK,2019-06-24,2019-07-11,240543.0,L,4332806.0,WF,2019.0,17,6,Original
Hess Creek,AK,AK,2019-06-21,2019-08-01,189369.0,L,3005369.0,WF,2019.0,41,6,Original
Swan Lake,AK,AK,2019-06-05,2019-10-02,167183.0,L,48101094.0,WF,2019.0,119,6,Original
Bearnose Hill,AK,AK,2019-06-29,2019-07-11,130768.0,L,2108024.0,WF,2019.0,12,6,Original
Woodbury,SW,AZ,2019-06-08,2019-07-05,123875.0,U,20000000.0,WF,2019.0,27,6,Original
Sheep,GB,ID,2019-06-22,2019-07-25,112106.0,L,710000.0,WF,2019.0,33,6,Original
Black River,AK,AK,2019-06-18,2019-08-08,107078.0,L,30000.0,WF,2019.0,51,6,Original
North River,AK,AK,2019-06-10,2019-07-21,101451.0,L,40000.0,WF,2019.0,41,6,Original
Tractor Trail 2,AK,AK,2019-06-22,2019-07-11,92628.0,L,461188.0,WF,2019.0,19,6,Original
Hurst Creek,AK,AK,2019-06-22,2019-07-04,85261.0,L,231175.0,WF,2019.0,12,6,Original
"Little Crazy
Mountain",AK,AK,2019-06-21,2019-07-25,79953.0,L,4517871.0,WF,2019.0,34,6,Imputed
Little Mud River,AK,AK,2019-06-21,2019-07-25,79675.0,L,4517871.0,WF,2019.0,34,6,Imputed
Kincade,NO,CA,2019-10-23,2019-11-07,77758.0,U,77144684.0,WF,2019.0,15,10,Original
Smith Creek,AK,AK,2019-06-30,2019-08-02,71815.0,H,7770810.0,WF,2019.0,33,6,Imputed
Pothole,GB,ID,2019-08-06,2019-08-08,69704.0,H,600000.0,WF,2019.0,2,8,Original
Hadweenzic River,AK,AK,2019-06-22,2019-07-19,62068.0,L,5004308.0,WF,2019.0,27,6,Original
Walker,NO,CA,2019-08-16,2019-09-25,54608.0,U,35600000.0,WF,2019.0,40,8,Original
Wilderness,AK,AK,2019-06-20,2019-07-25,53411.0,L,60000.0,WF,2019.0,35,6,Original
Foraker,AK,AK,2019-06-26,2019-07-25,49980.0,L,203477.0,WF,2019.0,29,6,Original
Grouse Creek,AK,AK,2019-07-10,2019-08-07,49533.0,L,2000000.0,WF,2019.0,28,7,Original
Page Mountain,AK,AK,2019-06-22,2019-08-01,46897.0,L,394900.0,WF,2019.0,40,6,Original
Williams Flatt,NW,WA,2019-08-02,2019-08-24,44446.0,L,19432000.0,WF,2019.0,22,8,Original
Bergman Creek,AK,AK,2019-06-21,2019-07-25,42300.0,L,1233004.0,WF,2019.0,34,6,Original
Sawgrass,SA,FL,2019-06-23,2019-06-27,42000.0,L,4605449.0,WF,2019.0,4,6,Imputed
Cold Creek,NW,WA,2019-07-18,2019-07-21,41920.0,U,900000.0,WF,2019.0,3,7,Original
Wallow,SW,AZ,2011-05-29,2011-07-08,538049.0,U,109000000.0,WF,2011.0,40,5,Original
Rock House,SA,TX,2011-04-09,2011-05-12,314444.0,H,8399072.0,WF,2011.0,33,4,Original
Honey Prairie,SA,GA,2011-04-30,2011-12-28,309200.0,L,53420000.0,WF,2011.0,242,4,Original
Horseshoe 2,SW,AZ,2011-05-08,2011-07-20,222954.0,H,52000000.0,WF,2011.0,73,5,Original
Deaton Cole,SA,TX,2011-04-25,2011-05-11,175000.0,U,7213332.5,WF,2011.0,16,4,Imputed
Cooper Mountain Ranch,SA,TX,2011-04-11,2011-04-23,162625.0,L,1194159.0,WF,2011.0,12,4,Original
Wildcat,SA,TX,2011-04-11,2011-05-02,159308.0,L,5282333.0,WF,2011.0,21,4,Original
Las Conchas,SW,NM,2011-06-26,2011-07-13,156593.0,H,48385000.0,WF,2011.0,17,6,Original
Pk Complex,SA,TX,2011-04-13,2011-05-12,126734.0,H,6639413.0,WF,2011.0,29,4,Original
Swenson,SA,TX,2011-04-06,2011-04-23,122500.0,H,2567948.0,WF,2011.0,17,4,Original
Indian Creek,WB,NV,2011-09-30,2011-10-13,110827.0,L,2500000.0,WF,2011.0,13,9,Original
High Cascades,NW,OR,2011-08-24,2011-09-21,108154.0,L,28294465.0,WF,2011.0,28,8,Original
Southeast Texas Complex,SA,TX,2011-09-07,2011-11-18,104818.0,U,20065853.0,WF,2011.0,72,9,Original
Donaldson,SW,NM,2011-06-28,2011-07-09,101563.0,L,5700000.0,WF,2011.0,11,6,Original
Pagami Creek,SW,MN,2011-08-17,2011-10-22,92193.0,L,22700000.0,WF,2011.0,66,8,Original
Dickens County Complex,SA,TX,2011-05-07,2011-05-21,89200.0,L,5481328.0,WF,2011.0,14,5,Imputed
Miller,SW,NM,2011-04-28,2011-06-14,88835.0,H,18100000.0,WF,2011.0,47,4,Original
Iron Mountain,SA,TX,2011-05-09,2011-05-24,87401.0,U,7434785.0,WF,2011.0,15,5,Imputed
Schwartz,SA,TX,2011-05-07,2011-05-24,83995.0,U,7747750.0,WF,2011.0,17,5,Imputed
Frying Pan Ranch,SA,TX,2011-04-14,2011-04-20,80907.0,U,277072.0,WF,2011.0,6,4,Original
White Hat,SA,TX,2011-06-20,2011-07-01,72473.0,U,4443411.5,WF,2011.0,11,6,Imputed
Prairie,SA,FL,2011-06-05,2011-06-24,68295.0,H,7009759.5,WF,2011.0,19,6,Imputed
Murphy Complex,SW,AZ,2011-05-30,2011-06-15,68079.0,H,5692555.0,WF,2011.0,16,5,Original
Big Hill,EB,ID,2011-08-14,2011-08-17,67000.0,L,150000.0,WF,2011.0,3,8,Original
Enterprise,SW,NM,2011-02-27,2011-02-28,64936.0,H,37000.0,WF,2011.0,1,2,Original
Crawford Ranch,SA,TX,2011-04-09,2011-04-12,60000.0,U,6829620.5,WF,2011.0,3,4,Imputed
Hancock Complex,NW,OR,2011-08-24,2011-09-16,57597.0,L,2896867.0,WF,2011.0,23,8,Original
East Volkmar,AK,AK,2011-05-26,2011-08-10,54217.0,L,6912031.0,WF,2011.0,76,5,Original
Killough,SA,TX,2011-04-09,2011-04-16,54000.0,U,6155856.5,WF,2011.0,7,4,Imputed
Last Chance,SW,NM,2011-04-24,2011-05-09,53342.0,H,2062400.0,WF,2011.0,15,4,Original
Diamond Complex,Unknown,MT,2011-08-22,2011-09-03,52710.0,L,4982582.0,WF,2011.0,12,8,Original
Northeast Texas Complex,SA,TX,2011-09-04,2011-09-29,52681.0,U,3958900.0,WF,2011.0,25,9,Original
T17,EB,ID,2011-08-25,2011-08-27,50176.0,U,410000.0,WF,2011.0,2,8,Original
Chukkar Canyon,WB,NV,2011-09-30,2011-10-13,48672.0,L,500000.0,WF,2011.0,13,9,Original
Pains Bay,SA,NC,2011-05-05,2011-06-28,45294.0,L,13934482.0,WF,2011.0,54,5,Original
Bear Springs Callie Marie,RM,CO,2011-06-05,2011-06-21,44662.0,L,2500000.0,WF,2011.0,16,6,Original
Izzenhood,WB,NV,2011-09-30,2011-10-13,42157.0,L,500000.0,WF,2011.0,13,9,Original
Matador West,SA,TX,2011-02-27,2011-03-02,41000.0,U,6728341.5,WF,2011.0,3,2,Imputed
Roper,SA,TX,2011-04-11,2011-04-13,41000.0,U,82000.0,WF,2011.0,2,4,Original
#536 Bear Creek,SA,TX,2011-09-04,2011-09-10,40388.0,U,48400.0,WF,2011.0,6,9,Original
Stanton County,RM,KS,2011-03-22,2011-03-28,40000.0,H,4203670.0,WF,2011.0,6,3,Imputed
Chester,SA,OK,2009-07-10,2009-07-17,41497.0,U,250000.0,WF,2009.0,7,7,Original
Bluff Creek,AK,AK,2009-07-26,2009-11-10,41756.0,L,8949483.0,WF,2009.0,107,7,Imputed
Big Pole,EB,UT,2009-08-06,2009-11-09,44345.0,L,9205940.0,WF,2009.0,95,8,Imputed
Dry Creek Complex,NW,WA,2009-08-20,2009-08-24,48902.0,L,870000.0,WF,2009.0,4,8,Original
Bear Creek,AK,AK,2009-06-17,2009-09-25,50897.0,L,6553405.0,WF,2009.0,100,6,Imputed
Putnam,SA,OK,2009-03-05,2009-03-11,52790.0,N,4854165.5,WF,2009.0,6,3,Imputed
East Slide Rock Ridge,WB,NV,2008-08-10,2009-04-07,54549.0,L,8682458.0,WF,2009.0,240,8,Imputed
Cato,SW,NM,2009-06-10,2009-06-13,55080.0,L,460000.0,WF,2009.0,3,6,Original
Chakina,AK,AK,2009-07-02,2009-08-25,56413.0,L,1933616.0,WF,2009.0,54,7,Original
Loco/Healdton,SA,OK,2009-04-09,2009-04-15,56688.0,U,5773104.0,WF,2009.0,6,4,Imputed
Rock Slough,AK,AK,2009-06-30,2009-11-10,62313.0,L,7397266.5,WF,2009.0,133,6,Imputed
Sheenjek,AK,AK,2009-07-02,2009-10-01,62658.0,L,245000.0,WF,2009.0,91,7,Original
Stevens Creek #1,AK,AK,2009-06-18,2009-11-10,85909.0,L,8100497.0,WF,2009.0,145,6,Imputed
La Brea,SO,CA,2009-08-08,2009-10-05,89489.0,H,12668344.0,WF,2009.0,58,8,Imputed
Pasco,SW,NM,2009-06-10,2009-06-23,93029.0,L,450000.0,WF,2009.0,13,6,Original
Rex Creek *,AK,AK,2009-08-02,2009-09-01,101150.0,L,9776578.0,WF,2009.0,30,8,Imputed
Wood River 1,AK,AK,2009-07-12,2009-09-01,125382.0,L,7769895.5,WF,2009.0,51,7,Imputed
Nowitna,AK,AK,2009-06-13,2009-08-01,126582.0,L,5898279.0,WF,2009.0,49,6,Imputed
Zitziana,AK,AK,2009-06-17,2009-08-01,141125.0,L,6799159.5,WF,2009.0,45,6,Imputed
Station,SO,CA,2009-08-26,2009-11-22,160577.0,H,95510000.0,WF,2009.0,88,8,Original
Tonclonukna Creek,AK,AK,2009-05-23,2009-07-01,164318.0,L,2969556.0,WF,2009.0,39,5,Original
Titna River,AK,AK,2009-07-11,2009-08-01,164542.0,L,5652879.0,WF,2009.0,21,7,Imputed
Big Creek,AK,AK,2009-07-18,2009-08-18,169639.0,L,820825.0,WF,2009.0,31,7,Original
Little Black One **,AK,AK,2009-06-20,2009-08-01,349450.0,L,6299296.0,WF,2009.0,42,6,Imputed
"Crazy Mountain
Complex **",AK,AK,2009-06-20,2009-08-01,447420.0,L,8570101.0,WF,2009.0,42,6,Imputed
Minto Flats South *,AK,AK,2009-06-21,2009-07-01,517078.0,L,7021673.5,WF,2009.0,10,6,Imputed
Railbelt Complex *,AK,AK,2009-06-21,2009-08-01,636224.0,L,9529215.0,WF,2009.0,41,6,Imputed
